is_val_error,reg,stepSize,lastKDays,kout,kin,time_ix,hy_ix,rmse,mae
True,Lasso,2,1,0,0,0,0,17.80619089371957,14.775455531944749
True,Lasso,2,1,0,0,0,1,13.1638453283641,10.511759829617603
True,Lasso,2,1,0,0,0,2,13.194875052472339,10.516261024996838
True,Lasso,2,1,0,0,0,3,13.51891710871507,10.561272978789193
True,Lasso,2,1,0,0,0,4,17.80619089371957,14.775455531944749
True,Lasso,2,1,0,0,0,5,19.855013419421976,16.930555555555557
True,Lasso,2,1,0,0,0,6,19.855013419421976,16.930555555555557
True,Lasso,2,1,0,0,0,7,19.855013419421976,16.930555555555557
True,Lasso,2,1,0,0,2,0,8.35746071112795,6.194580794764823
True,Lasso,2,1,0,0,2,1,11.122510063176652,8.106241272730461
True,Lasso,2,1,0,0,2,2,11.015591604772439,7.984704058901185
True,Lasso,2,1,0,0,2,3,10.009178099526718,6.7693319206084315
True,Lasso,2,1,0,0,2,4,8.35746071112795,6.194580794764823
True,Lasso,2,1,0,0,2,5,11.264770779801003,5.9303614953886665
True,Lasso,2,1,0,0,2,6,11.264770779801003,5.9303614953886665
True,Lasso,2,1,0,0,2,7,11.264770779801003,5.9303614953886665
True,Lasso,2,1,0,0,4,0,7.796053694560751,6.625496708800708
True,Lasso,2,1,0,0,4,1,6.104473723046769,5.230978182286122
True,Lasso,2,1,0,0,4,2,5.994793542964079,5.12462387158221
True,Lasso,2,1,0,0,4,3,4.977521580928158,4.061080764543086
True,Lasso,2,1,0,0,4,4,7.796053694560751,6.625496708800708
True,Lasso,2,1,0,0,4,5,8.238572617251258,6.974116161616162
True,Lasso,2,1,0,0,4,6,8.238572617251258,6.974116161616162
True,Lasso,2,1,0,0,4,7,8.238572617251258,6.974116161616162
True,Lasso,2,1,0,0,6,0,11.03370727487442,10.275673400673401
True,Lasso,2,1,0,0,6,1,14.284123486061356,13.948758823795869
True,Lasso,2,1,0,0,6,2,14.182803498324505,13.852553149527253
True,Lasso,2,1,0,0,6,3,13.206740065379497,12.890496406841075
True,Lasso,2,1,0,0,6,4,11.03370727487442,10.275673400673401
True,Lasso,2,1,0,0,6,5,11.03370727487442,10.275673400673401
True,Lasso,2,1,0,0,6,6,11.03370727487442,10.275673400673401
True,Lasso,2,1,0,0,6,7,11.03370727487442,10.275673400673401
True,Lasso,2,1,0,0,8,0,5.387425345020654,4.823658370090321
True,Lasso,2,1,0,0,8,1,5.343587924275972,4.266234650446873
True,Lasso,2,1,0,0,8,2,5.316005015505587,4.238348415169014
True,Lasso,2,1,0,0,8,3,5.075370364619276,3.9594860623903814
True,Lasso,2,1,0,0,8,4,5.387425345020654,4.823658370090321
True,Lasso,2,1,0,0,8,5,5.387425345020654,4.823658370090321
True,Lasso,2,1,0,0,8,6,5.387425345020654,4.823658370090321
True,Lasso,2,1,0,0,8,7,5.387425345020654,4.823658370090321
True,Lasso,2,1,0,0,10,0,6.823429219339247,5.943185011188191
True,Lasso,2,1,0,0,10,1,5.755257459699359,4.1648201348239065
True,Lasso,2,1,0,0,10,2,5.714844464694078,4.170723710989555
True,Lasso,2,1,0,0,10,3,5.501078474397966,4.312603230979148
True,Lasso,2,1,0,0,10,4,6.823429219339247,5.943185011188191
True,Lasso,2,1,0,0,10,5,6.823429219339247,5.943185011188191
True,Lasso,2,1,0,0,10,6,6.823429219339247,5.943185011188191
True,Lasso,2,1,0,0,10,7,6.823429219339247,5.943185011188191
True,Lasso,2,1,0,0,12,0,4.671899333891128,3.763498882969584
True,Lasso,2,1,0,0,12,1,8.98466869865907,8.197708600306145
True,Lasso,2,1,0,0,12,2,8.85887541022204,8.086619036841661
True,Lasso,2,1,0,0,12,3,7.633578549357391,6.975723402196794
True,Lasso,2,1,0,0,12,4,4.671899333891128,3.763498882969584
True,Lasso,2,1,0,0,12,5,4.671899333891128,3.763498882969584
True,Lasso,2,1,0,0,12,6,4.671899333891128,3.763498882969584
True,Lasso,2,1,0,0,12,7,4.671899333891128,3.763498882969584
True,Lasso,2,1,0,0,14,0,7.841320617626245,7.106098508604078
True,Lasso,2,1,0,0,14,1,12.992110258311975,9.675157926123312
True,Lasso,2,1,0,0,14,2,12.86908663970533,9.610205980082712
True,Lasso,2,1,0,0,14,3,11.74014905689289,8.96158397417498
True,Lasso,2,1,0,0,14,4,7.841320617626245,7.106098508604078
True,Lasso,2,1,0,0,14,5,7.935471648595173,7.17361111111111
True,Lasso,2,1,0,0,14,6,7.935471648595173,7.17361111111111
True,Lasso,2,1,0,0,14,7,7.935471648595173,7.17361111111111
True,Lasso,2,1,0,0,16,0,10.591732332224522,9.474332708391856
True,Lasso,2,1,0,0,16,1,12.329799629102979,9.81153241296464
True,Lasso,2,1,0,0,16,2,12.308942723660158,9.811236714824293
True,Lasso,2,1,0,0,16,3,12.116646490365284,9.808286355533804
True,Lasso,2,1,0,0,16,4,10.591732332224522,9.474332708391856
True,Lasso,2,1,0,0,16,5,12.1308369606423,9.232893681617682
True,Lasso,2,1,0,0,16,6,12.1308369606423,9.232893681617682
True,Lasso,2,1,0,0,16,7,12.1308369606423,9.232893681617682
True,Lasso,2,1,0,0,18,0,17.856867935423736,13.104162668296302
True,Lasso,2,1,0,0,18,1,15.58418069352178,14.510011013910601
True,Lasso,2,1,0,0,18,2,15.500823699586315,14.447113528885701
True,Lasso,2,1,0,0,18,3,14.765001604122542,13.819676092168438
True,Lasso,2,1,0,0,18,4,17.856867935423736,13.104162668296302
True,Lasso,2,1,0,0,18,5,23.94952608516796,20.801768870176236
True,Lasso,2,1,0,0,18,6,23.94952608516796,20.801768870176236
True,Lasso,2,1,0,0,18,7,23.94952608516796,20.801768870176236
True,Lasso,2,1,0,0,20,0,19.885531314598214,16.65065393236659
True,Lasso,2,1,0,0,20,1,25.048800751940217,21.528073809257723
True,Lasso,2,1,0,0,20,2,24.956114914521258,21.47793496563428
True,Lasso,2,1,0,0,20,3,24.083921864944724,20.976546529399823
True,Lasso,2,1,0,0,20,4,19.885531314598214,16.65065393236659
True,Lasso,2,1,0,0,20,5,18.617922458583557,16.33120264775441
True,Lasso,2,1,0,0,20,6,18.617922458583557,16.33120264775441
True,Lasso,2,1,0,0,20,7,18.617922458583557,16.33120264775441
True,Lasso,2,1,0,0,22,0,14.61871371367659,11.05908746886378
True,Lasso,2,1,0,0,22,1,14.747765105057729,10.115138750553086
True,Lasso,2,1,0,0,22,2,14.73041341775139,10.107229420081898
True,Lasso,2,1,0,0,22,3,14.572147131644941,10.028136115370062
True,Lasso,2,1,0,0,22,4,14.61871371367659,11.05908746886378
True,Lasso,2,1,0,0,22,5,19.554675114991547,14.154287439613524
True,Lasso,2,1,0,0,22,6,19.554675114991547,14.154287439613524
True,Lasso,2,1,0,0,22,7,19.554675114991547,14.154287439613524
True,Lasso,2,1,0,0,24,0,9.903153366419778,6.797960362468871
True,Lasso,2,1,0,0,24,1,10.072872115917123,8.539007542284688
True,Lasso,2,1,0,0,24,2,10.020947799468669,8.446778362582148
True,Lasso,2,1,0,0,24,3,9.590276322704304,7.524486565556736
True,Lasso,2,1,0,0,24,4,9.903153366419778,6.797960362468871
True,Lasso,2,1,0,0,24,5,9.903153366419778,6.797960362468871
True,Lasso,2,1,0,0,24,6,9.903153366419778,6.797960362468871
True,Lasso,2,1,0,0,24,7,9.903153366419778,6.797960362468871
True,Lasso,2,1,0,0,26,0,10.811547595961764,9.775797401506285
True,Lasso,2,1,0,0,26,1,10.478962730935594,8.931433100584748
True,Lasso,2,1,0,0,26,2,10.425308556333707,8.928827212301782
True,Lasso,2,1,0,0,26,3,9.972892722663591,8.902768329472126
True,Lasso,2,1,0,0,26,4,10.811547595961764,9.775797401506285
True,Lasso,2,1,0,0,26,5,10.811547595961764,9.775797401506285
True,Lasso,2,1,0,0,26,6,10.811547595961764,9.775797401506285
True,Lasso,2,1,0,0,26,7,10.811547595961764,9.775797401506285
